"Albert Rd| Levenshulme",Yes,Yes,53.44397612940326,-2.192502021789551
"Alberton Street",Yes,Yes,53.48188495768641,-2.2502553462982178
"Barlow Moor Rd",Yes,Yes,53.417832228076975,-2.231898307800293
"Burton Rd, Withington",Yes,Yes,53.4333031782296,-2.2292590141296387
"Castlefield",Yes,Yes,53.475985285590845,-2.252722978591919
"Chorlton Bus Terminus",Yes,Yes,53.43749598653664,-2.274373769760132
"Church Street",Yes,Yes,53.48291284693448,-2.2363507747650146
"Civic Centre| Wythenshawe",Yes,Yes,53.380320588026805,-2.2611236572265625
"Debenhams| Market Street",Yes,Yes,53.48212118288538,-2.2386789321899414
"Harvey Nichols| New Cathedral Street",Yes,Yes,53.484113083605166,-2.244858741760254
"Hollyhedge Rd| Benchill",Yes,Yes,53.48227440933817,-2.2473907470703125
"Humphrey St| Cheetham Hill",Yes,Yes,53.51116047259342,-2.2440433502197266
"John Dalton Street| corner of Deansgate",Yes,Yes,53.480601657272736,-2.2478842735290527
"Manchester Arndale| 1st Floor",Yes,Yes,53.483066070527954,-2.2412109375
"MOSI| Museum Of Science & Industry| Liverpool Road",Yes,Yes,53.47701118949963,-2.2536213404964656
"People’s History Museum| Left Bank| Spinningfields",Yes,Yes,53.481431656999284,-2.2527551651000977
"Selfridges & Co| Exchange Square",Yes,Yes,53.48373003303799,-2.243785858154297
"The Triangle| 37 Exchange Square",Yes,Yes,53.48451613437162,-2.2435362346004695
